,Unnamed: 0,Unnamed: 0.1,SMILES
0,0,0,Cc1cc(ccc1C(=O)c2ccccc2Cl)N3N=CC(=O)NC3=O
1,1,1,Cc1cc(ccc1C(=O)c2ccc(cc2)C#N)N3N=CC(=O)NC3=O
2,2,2,Cc1cc(cc(C)c1C(O)c2ccc(Cl)cc2)N3N=CC(=O)NC3=O
3,3,3,Cc1ccc(cc1)C(=O)c2ccc(cc2)N3N=CC(=O)NC3=O
4,4,4,Cc1cc(ccc1C(=O)c2ccc(Cl)cc2)N3N=CC(=O)NC3=O
5,5,5,Cc1cc(ccc1C(=O)c2ccccc2)N3N=CC(=O)NC3=O
6,6,6,Cc1cc(Br)ccc1C(=O)c2ccc(cc2Cl)N3N=CC(=O)NC3=O
7,7,7,Clc1ccc(C(=O)c2ccc(cc2Cl)N3N=CC(=O)NC3=O)c(Cl)c1
8,8,8,CS(=O)(=O)c1ccc(cc1)C(=O)c2ccc(cc2Cl)N3N=CC(=O)NC3=O
9,9,9,C1CCCCCNc2cc[n+](Cc3cccc(c3)c4cccc(C[n+]5ccc(NCCCC1)c6ccccc56)c4)c7ccccc27
10,10,10,CSc1ccc(cc1)C(=O)c2ccc(cc2Cl)N3N=CC(=O)NC3=O
11,11,11,Clc1ccc(cc1)C(=O)c2ccc(cc2Cl)N3N=CC(=O)NC3=O
12,12,12,Br\C=C\1/CCC(C(=O)O1)c2cccc3ccccc23
13,13,13,I\C=C\1/CCC(C(=O)O1)c2cccc3ccccc23
14,14,14,O=C1O\C(=C\C#C)\CCC1c2cccc3ccccc23
15,15,15,I\C=C/1\CCC(C(=O)O1)c2cccc3ccccc23
16,16,16,O=C(c1ccccc1)c2ccc(cc2)N3N=CC(=O)NC3=O
17,17,17,OC(c1ccc(Cl)cc1)c2ccc(cc2Cl)N3N=CC(=O)NC3=O
18,18,18,Clc1ccc(cc1C(=O)c2ccccc2)N3N=CC(=O)NC3=O
19,19,19,Cc1cc(ccc1C(O)c2ccccc2)N3N=CC(=O)NC3=O
20,20,20,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CC4c5ccccc5
21,21,21,COc1ccc(cc1)C(=O)c2ccc(cc2)N3N=CC(=O)NC3=O
22,22,22,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)S(=O)(=O)c4cccs4
23,23,23,C1CCCCCNc2cc[n+](Cc3ccc(cc3)c4ccc(C[n+]5ccc(NCCCC1)c6ccccc56)cc4)c7ccccc27
24,24,24,Nc1cc[n+](Cc2cccc(c2)c3cccc(C[n+]4ccc(N)c5ccccc45)c3)c6ccccc16
25,25,25,Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)c5ccccc45)cc3)cc2)c6ccccc16
26,26,26,Nc1cc[n+](Cc2ccc(\C=C/c3ccc(C[n+]4ccc(N)c5ccccc45)cc3)cc2)c6ccccc16
27,27,27,C(CCCCCNc1cc[n+](Cc2ccccc2)c3ccccc13)CCCCNc4cc[n+](Cc5ccccc5)c6ccccc46
28,28,28,C1CCCCCNc2cc[n+](Cc3ccc(\C=C/c4ccc(C[n+]5ccc(NCCCC1)c6ccccc56)cc4)cc3)c7ccccc27
29,29,29,C1CCCCCNc2cc[n+](Cc3ccc(CCc4ccc(C[n+]5ccc(NCCCC1)c6ccccc56)cc4)cc3)c7ccccc27
30,30,30,C1CCCCCNc2cc[n+](Cc3ccc(Cc4ccc(C[n+]5ccc(NCCCC1)c6ccccc56)cc4)cc3)c7ccccc27
31,31,31,Nc1cc[n+](Cc2ccc3c(Cc4cc(C[n+]5ccc(N)c6ccccc56)ccc34)c2)c7ccccc17
32,32,32,Nc1cc[n+](Cc2ccc(cc2)c3ccc(C[n+]4ccc(N)c5ccccc45)cc3)c6ccccc16
33,33,33,Cc1cc(ccc1C(=O)c2ccc(Cl)cc2Cl)N3N=CC(=O)NC3=O
34,34,34,C1CCCCCNc2cc[n+](Cc3ccc4c(Cc5cc(C[n+]6ccc(NCCCC1)c7ccccc67)ccc45)c3)c8ccccc28
35,35,35,Nc1cc[n+](Cc2ccc(Cc3ccc(C[n+]4ccc(N)c5ccccc45)cc3)cc2)c6ccccc16
36,36,36,COC(=O)\C=C\C(=O)Nc1ccc(CCCCC(=O)N2CCN(CC2)c3nc(N)c4cc(OC)c(OC)cc4n3)cc1
37,37,37,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)CCc4ccccc4
38,38,38,COc1ccc(\C=C\C(=O)N2CCN(CC2)c3nc(N)c4cc(OC)c(OC)cc4n3)cc1
39,39,39,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)\C=C\c4cccc(F)c4
40,40,40,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CC5CC4C=C5
41,41,41,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)\C=C\C=C\C
42,42,42,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)\C=C\c4ccccc4
43,43,43,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)\C=C\c4ccc(F)cc4
44,44,44,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)\C=C\c4ccc(Cl)cc4
45,45,45,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)\C(=C\c4ccccc4)\F
46,46,46,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)Nc4ccccc4
47,47,47,COC(=O)\C=C\C(=O)Nc1ccc(\C=C\C(=O)N2CCN(CC2)c3nc(N)c4cc(OC)c(OC)cc4n3)cc1
48,48,48,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)\C(=N\C4CCCCC4)\S
49,49,49,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4=CC5CCC4C=C5
